gene_set,gene,ensembl_id,present_in_ahba,match_method,gene_weight,missing_handling
weighted,FAM47E,ENSG00000189157,True,exact approved gene symbol,0.6943575739860535,included
weighted,FBRSL1,ENSG00000112787,True,exact approved gene symbol,0.6778879165649414,included
weighted,RIMS1,ENSG00000079841,True,exact approved gene symbol,0.67091304063797,included
weighted,SEC23IP,ENSG00000107651,True,exact approved gene symbol,0.6697301864624023,included
weighted,MCCC1,ENSG00000078070,True,exact approved gene symbol,0.6534242630004883,included
weighted,LCORL,ENSG00000178177,False,exact approved gene symbol,0.6404941082000732,excluded with identifier retained in audit
weighted,ELOVL7,ENSG00000164181,True,exact approved gene symbol,0.6225336194038391,included
weighted,SLC50A1,ENSG00000169241,True,exact approved gene symbol,0.6150293350219727,included
weighted,DLG2,ENSG00000150672,True,exact approved gene symbol,0.607625424861908,included
weighted,CAMK2D,ENSG00000145349,True,exact approved gene symbol,0.6061360836029053,included
weighted,VAMP4,ENSG00000117533,True,exact approved gene symbol,0.5934772491455078,included
weighted,USP25,ENSG00000155313,True,exact approved gene symbol,0.5770121216773987,included
weighted,SV2C,ENSG00000122012,True,exact approved gene symbol,0.5758057832717896,included
weighted,ITGA8,ENSG00000077943,True,exact approved gene symbol,0.5747663378715515,included
weighted,ITGA2B,ENSG00000005961,True,exact approved gene symbol,0.5718092322349548,included
weighted,UBAP2,ENSG00000137073,True,exact approved gene symbol,0.5707280039787292,included
weighted,PIK3CA,ENSG00000121879,True,exact approved gene symbol,0.5610139966011047,included
weighted,FASN,ENSG00000169710,True,exact approved gene symbol,0.5596649646759033,included
weighted,FGF20,ENSG00000078579,False,exact approved gene symbol,0.5564497709274292,excluded with identifier retained in audit
weighted,MED12L,ENSG00000144893,True,exact approved gene symbol,0.5456203818321228,included
weighted,C8orf58,ENSG00000241852,True,exact approved gene symbol,0.5322436690330505,included
weighted,AZI2,ENSG00000163512,True,exact approved gene symbol,0.5317397713661194,included
weighted,NSF,ENSG00000073969,True,exact approved gene symbol,0.5286843180656433,included
weighted,GPR65,ENSG00000140030,False,exact approved gene symbol,0.5266395807266235,excluded with identifier retained in audit
weighted,KTN1,ENSG00000126777,True,exact approved gene symbol,0.4827914834022522,included
weighted,ITPA,ENSG00000125877,True,exact approved gene symbol,0.4807567894458771,included
weighted,KCNMB3,ENSG00000171121,False,exact approved gene symbol,0.4734447598457336,excluded with identifier retained in audit
weighted,SNCA,ENSG00000145335,True,exact approved gene symbol,0.4322746694087982,included
weighted,PARP9,ENSG00000138496,True,exact approved gene symbol,0.4089574217796325,included
weighted,CRHR1,ENSG00000120088,False,exact approved gene symbol,0.4029454886913299,excluded with identifier retained in audit
weighted,CCAR2,ENSG00000158941,True,exact approved gene symbol,0.3965764939785003,included
weighted,KPNA1,ENSG00000114030,True,exact approved gene symbol,0.3957322239875793,included
weighted,GCH1,ENSG00000131979,False,exact approved gene symbol,0.3703282475471496,excluded with identifier retained in audit
weighted,LZTS3,ENSG00000088899,True,exact approved gene symbol,0.3598359227180481,included
weighted,NCKIPSD,ENSG00000213672,True,exact approved gene symbol,0.3463244140148163,included
weighted,TTC6,ENSG00000139865,False,exact approved gene symbol,0.3436167240142822,excluded with identifier retained in audit
