disease,disease_id,gene_set,region_id,region,z_score,gene_set_fdr,spatial_null_p,spatial_null_fdr,spatial_robustness,robustness_rank,spatially_robust,n_spatial_permutations,donor_median_rank_percentile,donor_rank_iqr,donors_observed
Amyotrophic lateral sclerosis,als,broad,93,Temporal Inf L,-0.4430856435764462,0.916376219520905,0.7254274572542746,0.9826443826205614,0.2745725427457254,97,False,10000,0.27103365384615385,0.1685154311414392,6
Amyotrophic lateral sclerosis,als,broad,94,Temporal Inf R,-0.060003032441204474,0.9105651934806519,0.5617438256174383,0.9826443826205614,0.4382561743825617,78,False,10000,0.21322115384615387,0.005528846153846162,2
Amyotrophic lateral sclerosis,als,broad,95,Cerebellum Crus1 L,-0.7348107440611881,0.9253548329377588,0.8128187181281872,0.9826443826205614,0.18718128187181282,111,False,10000,0.13942307692307693,0.0762562034739454,6
Amyotrophic lateral sclerosis,als,broad,96,Cerebellum Crus1 R,-0.6029548432253602,0.916376219520905,0.822017798220178,0.9826443826205614,0.17798220177982205,114,False,10000,0.24807692307692308,0.0019230769230769162,2
Amyotrophic lateral sclerosis,als,broad,97,Cerebellum Crus2 L,-0.46113608354472807,0.916376219520905,0.7502249775022498,0.9826443826205614,0.2497750224977502,101,False,10000,0.26091811414392063,0.20875465260545903,6
Amyotrophic lateral sclerosis,als,broad,98,Cerebellum Crus2 R,-0.1857532566713633,0.9105651934806519,0.6154384561543845,0.9826443826205614,0.38456154384561547,82,False,10000,0.44525240384615383,0.06243990384615383,2
Amyotrophic lateral sclerosis,als,broad,101,Cerebellum 4 5 L,0.06826904306606225,0.8901055099969455,0.5016498350164984,0.9355091517875239,0.4983501649835016,74,False,10000,0.4653846153846154,0.16600496277915633,6
Amyotrophic lateral sclerosis,als,broad,102,Cerebellum 4 5 R,0.6493170710117119,0.8544530162368379,0.3003699630036996,0.8867205587133594,0.6996300369963004,45,False,10000,0.6660456730769231,0.08010817307692308,2
Amyotrophic lateral sclerosis,als,broad,103,Cerebellum 6 L,-0.8734095297288915,0.931061893810619,0.8365163483651635,0.9826443826205614,0.16348365163483647,116,False,10000,0.18548387096774194,0.2025230691687345,6
Amyotrophic lateral sclerosis,als,broad,104,Cerebellum 6 R,-0.5178081754716485,0.916376219520905,0.7514248575142486,0.9826443826205614,0.2485751424857514,102,False,10000,0.20276442307692308,0.15661057692307695,2
Amyotrophic lateral sclerosis,als,broad,105,Cerebellum 7b L,0.3570146169341265,0.8544530162368379,0.3748625137486251,0.8867205587133594,0.6251374862513749,57,False,10000,0.43846153846153846,0.4117866004962779,6
