disease,disease_id,gene_set,cell_type,cell_type_class,marker_source,overlap,gene_count,background_count,effect_size,p_value,genes,fdr
Alzheimer disease,alzheimer,weighted,LAMP5-LHX6 and Chandelier,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,MGE interneuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,amygdala excitatory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,cerebellar inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,committed oligodendrocyte precursor,Glial cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,deep-layer corticothalamic and 6b,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,eccentric medium spiny neuron,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,endothelial cell,Endothelial and mural cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,lower rhombic lip,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,midbrain-derived inhibitory,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
Alzheimer disease,alzheimer,weighted,miscellaneous,Neuronal cells,Human Protein Atlas v25.1 single-nucleus brain; top 200 specificity-ranked AHBA genes per cluster type,0,93,200,0.0,1.0,,1.0
