disease,disease_id,donor_1,donor_2,score_method,pearson_r,n_common_regions
Amyotrophic lateral sclerosis,als,14380,15697,weighted,0.4734598202036574,57
Amyotrophic lateral sclerosis,als,14380,9861,broad,0.1998310296588234,59
Amyotrophic lateral sclerosis,als,14380,9861,stringent,0.6333213424420682,59
Amyotrophic lateral sclerosis,als,14380,9861,weighted,0.475209845208596,59
Amyotrophic lateral sclerosis,als,15496,15697,broad,0.28501863669425476,56
Amyotrophic lateral sclerosis,als,15496,15697,stringent,0.6047986194416602,56
Amyotrophic lateral sclerosis,als,15496,15697,weighted,0.4986548772586296,56
Amyotrophic lateral sclerosis,als,15496,9861,broad,0.3925600687125706,55
Amyotrophic lateral sclerosis,als,15496,9861,stringent,0.5773681788741544,55
Amyotrophic lateral sclerosis,als,15496,9861,weighted,0.5559019317081019,55
Amyotrophic lateral sclerosis,als,15697,9861,broad,0.42205691571585474,59
Amyotrophic lateral sclerosis,als,15697,9861,stringent,0.52573707696834,59
Amyotrophic lateral sclerosis,als,15697,9861,weighted,0.5108905366821134,59
Schizophrenia,schizophrenia,10021,12876,broad,0.2202769655068915,56
Schizophrenia,schizophrenia,10021,12876,stringent,0.17125264626034165,56
Schizophrenia,schizophrenia,10021,12876,weighted,0.21760560780934476,56
Schizophrenia,schizophrenia,10021,14380,broad,0.0748235366261992,59
Schizophrenia,schizophrenia,10021,14380,stringent,0.17898336188566874,59
Schizophrenia,schizophrenia,10021,14380,weighted,0.08650524771695313,59
Schizophrenia,schizophrenia,10021,15496,broad,0.18404668568892135,56
Schizophrenia,schizophrenia,10021,15496,stringent,0.32702310468223195,56
Schizophrenia,schizophrenia,10021,15496,weighted,0.2549617004236455,56
Schizophrenia,schizophrenia,10021,15697,broad,0.15342231052679267,57
Schizophrenia,schizophrenia,10021,15697,stringent,0.1566463736819885,57
Schizophrenia,schizophrenia,10021,15697,weighted,0.13591864465340994,57
Schizophrenia,schizophrenia,10021,9861,broad,0.0617009852942506,123
Schizophrenia,schizophrenia,10021,9861,stringent,0.16724566024459175,123
Schizophrenia,schizophrenia,10021,9861,weighted,0.14723755843594138,123
Schizophrenia,schizophrenia,12876,14380,broad,0.30101352771936407,58
Schizophrenia,schizophrenia,12876,14380,stringent,0.39923178561595873,58
Schizophrenia,schizophrenia,12876,14380,weighted,0.3959122824985259,58
Schizophrenia,schizophrenia,12876,15496,broad,0.12546818351233446,55
Schizophrenia,schizophrenia,12876,15496,stringent,0.18209072066753534,55
Schizophrenia,schizophrenia,12876,15496,weighted,0.18019290860376186,55
Schizophrenia,schizophrenia,12876,15697,broad,0.11376681620168759,55
Schizophrenia,schizophrenia,12876,15697,stringent,0.4524555469059167,55
Schizophrenia,schizophrenia,12876,15697,weighted,0.2783834670724477,55
Schizophrenia,schizophrenia,12876,9861,broad,0.08426684090339118,56
Schizophrenia,schizophrenia,12876,9861,stringent,0.28418566565548464,56
Schizophrenia,schizophrenia,12876,9861,weighted,0.1931342082608088,56
Schizophrenia,schizophrenia,14380,15496,broad,0.1756929812221778,57
Schizophrenia,schizophrenia,14380,15496,stringent,0.4143494716017649,57
Schizophrenia,schizophrenia,14380,15496,weighted,0.30057248697369326,57
Schizophrenia,schizophrenia,14380,15697,broad,-0.22021756513128254,57
Schizophrenia,schizophrenia,14380,15697,stringent,0.15389804691787157,57
Schizophrenia,schizophrenia,14380,15697,weighted,-0.06480371542878978,57
Schizophrenia,schizophrenia,14380,9861,broad,-0.11644594890420755,59
Schizophrenia,schizophrenia,14380,9861,stringent,0.14699807970618053,59
Schizophrenia,schizophrenia,14380,9861,weighted,0.010907346104237476,59
Schizophrenia,schizophrenia,15496,15697,broad,0.21413074408477964,56
Schizophrenia,schizophrenia,15496,15697,stringent,0.2709102435394958,56
Schizophrenia,schizophrenia,15496,15697,weighted,0.24559609746740535,56
Schizophrenia,schizophrenia,15496,9861,broad,0.14540410285035374,55
Schizophrenia,schizophrenia,15496,9861,stringent,0.24528202769949922,55
Schizophrenia,schizophrenia,15496,9861,weighted,0.2860892429558673,55
Schizophrenia,schizophrenia,15697,9861,broad,0.2536262237837436,59
Schizophrenia,schizophrenia,15697,9861,stringent,0.2716339957927531,59
Schizophrenia,schizophrenia,15697,9861,weighted,0.27644826769021885,59
Bipolar disorder,bipolar,10021,12876,broad,0.07517694905109884,56
Bipolar disorder,bipolar,10021,12876,stringent,0.22022505971030965,56
Bipolar disorder,bipolar,10021,12876,weighted,0.1394902300551093,56
Bipolar disorder,bipolar,10021,14380,broad,-0.05788381259401741,59
Bipolar disorder,bipolar,10021,14380,stringent,0.418929467365669,59
Bipolar disorder,bipolar,10021,14380,weighted,0.14309623000252694,59
Bipolar disorder,bipolar,10021,15496,broad,0.16941448871993503,56
Bipolar disorder,bipolar,10021,15496,stringent,0.5390277855297837,56
