gene_set_version,region_id,region_name,stage6_z,stage6_fdr,spatial_null_p,spatial_null_fdr,spatial_robustness,robustness_rank
broad,73,Paracentral Lobule L,-0.3470639877290813,0.9537368843760784,0.6238376162383762,0.9460394619878671,0.3761623837616238,91
broad,74,Paracentral Lobule R,-0.1065070164404268,0.9198545261752894,0.5600439956004399,0.9320486555995563,0.43995600439956006,78
broad,75,Caudate L,-3.031412631656499,0.9989001099890013,0.9957004299570043,0.9957004299570043,0.004299570042995748,138
broad,76,Caudate R,-2.8798719893466163,0.9989001099890013,0.991000899910009,0.9957004299570043,0.008999100089991052,137
broad,77,Putamen L,-1.903999906587311,0.9936028619360286,0.933006699330067,0.9791793547917935,0.06699330066993303,131
broad,78,Putamen R,-0.8857966738636868,0.9936028619360286,0.7875212478752125,0.9791793547917935,0.2124787521247875,103
broad,79,Pallidum L,-1.6213106488989577,0.9936028619360286,0.9276072392760724,0.9791793547917935,0.07239276072392764,129
broad,80,Pallidum R,-2.5642693324334997,0.9989001099890013,0.958004199580042,0.9794991089126381,0.041995800419957985,134
broad,83,Heschl L,0.8426675723086723,0.7490679503478223,0.25207479252074794,0.8898642050688548,0.7479252074792521,34
broad,84,Heschl R,0.7184849169790944,0.7490679503478223,0.2703729627037296,0.8898642050688548,0.7296270372962703,38
broad,85,Temporal Sup L,0.6783628312863453,0.7490679503478223,0.31696830316968305,0.8926862415799236,0.683031696830317,49
broad,86,Temporal Sup R,1.7841827609638146,0.4765123487651235,0.056894310568943104,0.799508284465671,0.9431056894310569,7
broad,87,Temporal Pole Sup L,0.1357845872978429,0.9198545261752894,0.47185281471852814,0.9320486555995563,0.5281471852814719,64
broad,88,Temporal Pole Sup R,-0.1427577546898207,0.9198545261752894,0.5716428357164284,0.9320486555995563,0.4283571642835716,82
broad,89,Temporal Mid L,0.7084372314619518,0.7490679503478223,0.30296970302969706,0.8898642050688548,0.6970302969703029,46
broad,90,Temporal Mid R,0.1855919737663504,0.9198545261752894,0.45585441455854414,0.9320486555995563,0.5441455854414559,61
broad,91,Temporal Pole Mid L,0.4540994049251188,0.8432779363573077,0.37506249375062495,0.9320486555995563,0.624937506249375,53
broad,93,Temporal Inf L,0.6434247196055773,0.7490679503478223,0.29617038296170384,0.8898642050688548,0.7038296170382962,45
broad,94,Temporal Inf R,1.6541721595318717,0.4765123487651235,0.0851914808519148,0.799508284465671,0.9148085191480853,11
