region_id,region,robustness_rank,spatial_robustness_label,gene,gene_expression,l2g_score,weighted_contribution,regional_rank,top_driver
20,Frontal Sup Medial R,2,not_robust,UBAP2,0.6418227821915448,0.5707280039787292,0.007820003309731646,29,False
20,Frontal Sup Medial R,2,not_robust,MAP4K4,0.4839718806406738,0.7526438236236572,0.007776286571626188,30,False
20,Frontal Sup Medial R,2,not_robust,AZI2,0.6796452934837699,0.5317397713661194,0.007715144840289212,31,False
20,Frontal Sup Medial R,2,not_robust,CAMK2D,0.583994292271344,0.6061360836029053,0.007556859826821679,32,False
20,Frontal Sup Medial R,2,not_robust,GALC,0.4674475694380071,0.730959951877594,0.007294392271083227,33,False
20,Frontal Sup Medial R,2,not_robust,TMEM175,0.4118298835778404,0.7957037091255188,0.006995711080750261,34,False
20,Frontal Sup Medial R,2,not_robust,ITGA8,0.5578441732904336,0.5747663378715515,0.006844895964595167,35,False
20,Frontal Sup Medial R,2,not_robust,TMEM163,0.3754867230596014,0.8511537313461304,0.006822840489688587,36,False
20,Frontal Sup Medial R,2,not_robust,PKP2,0.4346415062773534,0.7130399346351624,0.006616185546931081,37,False
20,Frontal Sup Medial R,2,not_robust,DYRK1A,0.4094418977736692,0.7525694370269775,0.0065781153377770666,38,False
20,Frontal Sup Medial R,2,not_robust,KPNA1,0.756371863751857,0.3957322239875793,0.006389978639208233,39,False
20,Frontal Sup Medial R,2,not_robust,FASN,0.5310465852699922,0.5596649646759033,0.006344879327531547,40,False
20,Frontal Sup Medial R,2,not_robust,USP25,0.4983809356308603,0.5770121216773987,0.006139160439309894,41,False
20,Frontal Sup Medial R,2,not_robust,ITGA2B,0.4942838696301666,0.5718092322349548,0.006033790494179904,42,False
20,Frontal Sup Medial R,2,not_robust,C8orf58,0.5207017964936914,0.5322436690330505,0.005916463720119616,43,False
20,Frontal Sup Medial R,2,not_robust,ELOVL7,0.4253215690646157,0.6225336194038391,0.005652529569704369,44,False
20,Frontal Sup Medial R,2,not_robust,KTN1,0.5447971557268159,0.4827914834022522,0.005615094341040325,45,False
20,Frontal Sup Medial R,2,not_robust,CCAR2,0.6607739559716872,0.3965764939785003,0.005594258257515602,46,False
20,Frontal Sup Medial R,2,not_robust,PIK3CA,0.4502176073785585,0.5610139966011047,0.0053921106738796945,47,False
20,Frontal Sup Medial R,2,not_robust,SNCA,0.5765070603007982,0.4322746694087982,0.005320188781867072,48,False
20,Frontal Sup Medial R,2,not_robust,SV2C,0.4293555923129648,0.5758057832717896,0.005277834550939905,49,False
20,Frontal Sup Medial R,2,not_robust,NSF,0.4582944578765452,0.5286843180656433,0.005172537635550274,50,False
20,Frontal Sup Medial R,2,not_robust,MCCC1,0.3628545217695871,0.6534242630004883,0.005061630304358354,51,False
20,Frontal Sup Medial R,2,not_robust,ITPA,0.4899869311508653,0.4807567894458771,0.005028894774141261,52,False
20,Frontal Sup Medial R,2,not_robust,TMED5,0.7516551364193643,0.3018712401390075,0.004843987278392658,53,False
20,Frontal Sup Medial R,2,not_robust,PARP9,0.5351593364874212,0.4089574217796325,0.0046722258321001044,54,False
20,Frontal Sup Medial R,2,not_robust,CD38,0.6708267960811407,0.321556955575943,0.004605013797474649,55,False
20,Frontal Sup Medial R,2,not_robust,VAMP4,0.3619004065631435,0.5934772491455078,0.0045851734756886765,56,False
20,Frontal Sup Medial R,2,not_robust,HSD3B7,0.6322883727419837,0.3309276401996612,0.004466947656230782,57,False
20,Frontal Sup Medial R,2,not_robust,LZTS3,0.5784547806641882,0.3598359227180481,0.0044436163622603555,58,False
20,Frontal Sup Medial R,2,not_robust,P2RY12,0.6862629457705303,0.3019077479839325,0.004423106884304304,59,False
20,Frontal Sup Medial R,2,not_robust,NCKIPSD,0.498911110018464,0.3463244140148163,0.0036886623985887116,60,False
20,Frontal Sup Medial R,2,not_robust,NRIP1,0.5279766250278572,0.3074838519096374,0.003465769168456058,61,False
20,Frontal Sup Medial R,2,not_robust,ZCWPW2,0.5623119262160209,0.2858431041240692,0.0034313707078717287,62,False
20,Frontal Sup Medial R,2,not_robust,MYLK2,0.5389255917884153,0.2965930700302124,0.0034123410614547212,63,False
20,Frontal Sup Medial R,2,not_robust,ERCC8,0.4635577127042898,0.3066307008266449,0.0030344645787800735,64,False
20,Frontal Sup Medial R,2,not_robust,MIPOL1,0.5871128009724398,0.2262192219495773,0.002835395718995157,65,False
20,Frontal Sup Medial R,2,not_robust,BCL2L1,0.5112181886756828,0.2567904889583587,0.0028025144265464647,66,False
20,Frontal Sup Medial R,2,not_robust,VPS13C,0.4441788675529041,0.2877374291419983,0.0027284555120962463,67,False
20,Frontal Sup Medial R,2,not_robust,FAM171A1,0.3849281520746346,0.316009521484375,0.002596823714258465,68,False
20,Frontal Sup Medial R,2,not_robust,INTS2,0.6593086975506722,0.1789993643760681,0.0025194336130641795,69,False
20,Frontal Sup Medial R,2,not_robust,DDRGK1,0.7028794245900479,0.1576443612575531,0.0023654942516428096,70,False
20,Frontal Sup Medial R,2,not_robust,STBD1,0.7277049707157398,0.1455356031656265,0.0022609305234256704,71,False
20,Frontal Sup Medial R,2,not_robust,MICU3,0.4314954834333567,0.2358701527118683,0.0021727605526096895,72,False
20,Frontal Sup Medial R,2,not_robust,DGKQ,0.3619931989578451,0.2635650038719177,0.0020368112299991043,73,False
20,Frontal Sup Medial R,2,not_robust,MED13,0.5121469059519519,0.1776958703994751,0.001942828715476445,74,False
20,Frontal Sup Medial R,2,not_robust,MCMBP,0.4590155295667081,0.1930699795484542,0.0018919286547900618,75,False
20,Frontal Sup Medial R,2,not_robust,CYLD,0.5195393424439747,0.169330820441246,0.001878092932658438,76,False
20,Frontal Sup Medial R,2,not_robust,PDLIM2,0.4369111363379737,0.1904719173908233,0.001776587874211806,77,False
20,Frontal Sup Medial R,2,not_robust,NDUFAF2,0.5397007781071116,0.1519088149070739,0.001750244192578467,78,False
20,Frontal Sup Medial R,2,not_robust,RORA,0.492490437014455,0.1622077226638794,0.0017054223663792061,79,False
20,Frontal Sup Medial R,2,not_robust,AMPD3,0.5418845300308202,0.145731434226036,0.001685864312218659,80,False
20,Frontal Sup Medial R,2,not_robust,NEK1,0.5682711681505714,0.1384527385234832,0.0016796538816396104,81,False
20,Frontal Sup Medial R,2,not_robust,MTF2,0.5824471885776344,0.1314258724451065,0.0016341805883618168,82,False
