region_id,region,regional_weighted_score,contribution_rank,gene,expression,l2g_score,weighted_contribution,normalized_contribution
20,Frontal Sup Medial R,0.5459859669041388,115,VPS37A,0.3699833608820571,0.0843638330698013,0.0006663480363849764,0.0012204490165989373
20,Frontal Sup Medial R,0.5459859669041388,116,ARL17A,0.4071456762000488,0.0748985931277275,0.0006510076808752772,0.0011923524052580223
20,Frontal Sup Medial R,0.5459859669041388,117,BIN3,0.4220833934867574,0.0713214352726936,0.0006426595495819858,0.0011770623945263781
20,Frontal Sup Medial R,0.5459859669041388,118,PRSS3,0.5105740236929642,0.0544609166681766,0.0005936169428700241,0.001087238461889347
20,Frontal Sup Medial R,0.5459859669041388,119,RPP38,0.3640363360042553,0.0709610506892204,0.0005514769909908423,0.0010100570791550534
20,Frontal Sup Medial R,0.5459859669041388,120,ZDHHC2,0.4204801662140935,0.0558798909187316,0.0005016071175975849,0.0009187179671334925
20,Frontal Sup Medial R,0.5459859669041388,121,TPX2,0.3489173354317091,0.0610919557511806,0.0004550605644884767,0.0008334656787403723
20,Frontal Sup Medial R,0.5459859669041388,122,CNTLN,0.3326939673822729,0.0592545457184314,0.0004208518342728476,0.00077081071636176
20,Frontal Sup Medial R,0.5459859669041388,123,ARIH2,0.3334915380443003,0.0570767857134342,0.0004063562575328818,0.0007442613586517827
144,Thal PuI R,0.5455636151710573,1,SIPA1L2,0.9072390074082342,0.8528462648391724,0.016517909865602608,0.03027678057383563
144,Thal PuI R,0.5455636151710573,2,TMEM163,0.8688326483020206,0.8511537313461304,0.015787260128122947,0.02893752385443258
144,Thal PuI R,0.5455636151710573,3,ITPKB,0.7407043289830768,0.9014809131622314,0.014254895707131085,0.026128750728109995
144,Thal PuI R,0.5455636151710573,4,SH3GL2,0.7081931618587433,0.8994671702384949,0.013598771332330966,0.024926096525090247
144,Thal PuI R,0.5455636151710573,5,STK39,0.7443570266328838,0.8421160578727722,0.01338184103778279,0.02452847049484232
144,Thal PuI R,0.5455636151710573,6,HIP1R,0.6712705890706039,0.8798125386238098,0.012608121693050608,0.023110268614774516
144,Thal PuI R,0.5455636151710573,7,CAMK2D,0.8599990985603516,0.6061360836029053,0.011128349583242103,0.02039789544937467
144,Thal PuI R,0.5455636151710573,8,SPPL2B,0.7381362122013161,0.6948310136795044,0.010949097729233826,0.020069332750133673
144,Thal PuI R,0.5455636151710573,9,MAP4K4,0.6814089427069014,0.7526438236236572,0.010948634461868266,0.020068483596427898
144,Thal PuI R,0.5455636151710573,10,SLC2A13,0.7039930538650266,0.700274646282196,0.010524449834157422,0.019290967252018006
144,Thal PuI R,0.5455636151710573,11,RIT2,0.5756608996217802,0.8445248007774353,0.010378671480692873,0.019023760368327935
144,Thal PuI R,0.5455636151710573,12,TOX3,0.6608174249200116,0.7276461720466614,0.010265127800100502,0.018815638570182047
144,Thal PuI R,0.5455636151710573,13,CTSB,0.5487533738507926,0.8426995277404785,0.009872168954488211,0.01809535804801218
144,Thal PuI R,0.5455636151710573,14,RNF141,0.6043777465599258,0.7541582584381104,0.009730464704429538,0.01783561886065042
144,Thal PuI R,0.5455636151710573,15,FYN,0.593034880369177,0.7615038752555847,0.009640842347954695,0.01767134405569162
144,Thal PuI R,0.5455636151710573,16,MCCC1,0.6801778633160313,0.6534242630004883,0.00948812452032863,0.017391417346176396
144,Thal PuI R,0.5455636151710573,17,GALC,0.6060938914476786,0.730959951877594,0.009457930442641926,0.01733607260388225
144,Thal PuI R,0.5455636151710573,18,CNTN1,0.5641619051272343,0.7606772780418396,0.009161505072685558,0.01679273473875826
144,Thal PuI R,0.5455636151710573,19,FASN,0.75899933229771,0.5596649646759033,0.009068430730342766,0.016622132558270823
144,Thal PuI R,0.5455636151710573,20,UBAP2,0.724214738411182,0.5707280039787292,0.008823871337184342,0.016173863307247283
144,Thal PuI R,0.5455636151710573,21,ITGA8,0.6690372243304065,0.5747663378715515,0.008209264192849971,0.015047308809763677
144,Thal PuI R,0.5455636151710573,22,C8orf58,0.7094760401150266,0.5322436690330505,0.008061407277448371,0.014776291991027991
144,Thal PuI R,0.5455636151710573,23,SLC18B1,0.5371490362306925,0.702358067035675,0.008054081152431496,0.014762863447017447
144,Thal PuI R,0.5455636151710573,24,RIMS1,0.5484966029507548,0.67091304063797,0.007856023990343007,0.014399831242191272
144,Thal PuI R,0.5455636151710573,25,ASXL3,0.5110670284488422,0.7160765528678894,0.007812678305768286,0.014320380040957606
144,Thal PuI R,0.5455636151710573,26,KTN1,0.7574255899579316,0.4827914834022522,0.007806604897299705,0.014309247684803912
144,Thal PuI R,0.5455636151710573,27,ELOVL7,0.5783636105933837,0.6225336194038391,0.007686460430656923,0.014089026864899873
144,Thal PuI R,0.5455636151710573,28,FAM47E,0.5150131155041807,0.6943575739860535,0.007634209813232382,0.013993253217296636
144,Thal PuI R,0.5455636151710573,29,FCGR2A,0.4003813913547838,0.8712173104286194,0.007446685386545694,0.013649527166892978
144,Thal PuI R,0.5455636151710573,30,ITPA,0.7194157427824444,0.4807567894458771,0.0073835970702648395,0.013533888376976475
144,Thal PuI R,0.5455636151710573,31,GPNMB,0.379709950821132,0.8844435214996338,0.0071694313258476835,0.01314132967536657
144,Thal PuI R,0.5455636151710573,32,SLC50A1,0.5298118176756921,0.6150293350219727,0.0069563287375803765,0.012750719703694449
144,Thal PuI R,0.5455636151710573,33,ALG10,0.44529545004929,0.7019623517990112,0.006673054984767114,0.012231488316307215
144,Thal PuI R,0.5455636151710573,34,FBRSL1,0.4516480563429776,0.6778879165649414,0.006536129731680405,0.011980508871785835
144,Thal PuI R,0.5455636151710573,35,DLG2,0.495563710856206,0.607625424861908,0.006428328464292286,0.011782912726459465
144,Thal PuI R,0.5455636151710573,36,DYRK1A,0.3961485725225921,0.7525694370269775,0.0063645440662495325,0.011665998041775528
144,Thal PuI R,0.5455636151710573,37,IRS2,0.3941649048769931,0.7469207048416138,0.006285141756952652,0.011520456244102703
144,Thal PuI R,0.5455636151710573,38,CLCN3,0.3634159426636831,0.8020431399345398,0.0062224917489129665,0.011405620858645332
144,Thal PuI R,0.5455636151710573,39,SV2C,0.4974681260014612,0.5758057832717896,0.006115104846446312,0.01120878423046773
144,Thal PuI R,0.5455636151710573,40,MED12L,0.5231652482668557,0.5456203818321228,0.00609385475108616,0.011169833510938003
144,Thal PuI R,0.5455636151710573,41,CCSER1,0.3313577195816406,0.8328624963760376,0.005891596893393469,0.010799101570485421
144,Thal PuI R,0.5455636151710573,42,NSF,0.4843479338779231,0.5286843180656433,0.005466590035351135,0.010020078105166759
144,Thal PuI R,0.5455636151710573,43,TMEM175,0.309107689280742,0.7957037091255188,0.005250779929469767,0.009624505343567359
144,Thal PuI R,0.5455636151710573,44,PARP9,0.5741780767544564,0.4089574217796325,0.005012880201335669,0.009188443037507035
144,Thal PuI R,0.5455636151710573,45,HSD3B7,0.7081842532666796,0.3309276401996612,0.005003131682764677,0.009170574326508162
144,Thal PuI R,0.5455636151710573,46,PKP2,0.3133988987480041,0.7130399346351624,0.004770610340645924,0.00874437042351172
144,Thal PuI R,0.5455636151710573,47,CCAR2,0.5459179678209954,0.3965764939785003,0.0046218620933958215,0.008471719823079975
144,Thal PuI R,0.5455636151710573,48,BCL2L1,0.7965767465711682,0.2567904889583587,0.004366859148537443,0.008004307888399498
144,Thal PuI R,0.5455636151710573,49,TMED5,0.6738345487378405,0.3018712401390075,0.004342478117526595,0.007959618267734081
144,Thal PuI R,0.5455636151710573,50,ITGA2B,0.354691727918809,0.5718092322349548,0.004329770214597633,0.007936325103425504
144,Thal PuI R,0.5455636151710573,51,VPS13C,0.7036864892024917,0.2877374291419983,0.004322531800825744,0.00792305733121599
144,Thal PuI R,0.5455636151710573,52,SEC23IP,0.292376220555845,0.6697301864624023,0.004180272060120873,0.007662299947935825
144,Thal PuI R,0.5455636151710573,53,MYLK2,0.6149570569244491,0.2965930700302124,0.0038937531420821913,0.007137120280393579
144,Thal PuI R,0.5455636151710573,54,NCKIPSD,0.5256267244906176,0.3463244140148163,0.0038861823186301368,0.007123243212272604
144,Thal PuI R,0.5455636151710573,55,AZI2,0.3404616903556693,0.5317397713661194,0.003864826665979718,0.007084099009733138
144,Thal PuI R,0.5455636151710573,56,CD38,0.5373701185462431,0.321556955575943,0.0036888759135923345,0.0067615871202036
144,Thal PuI R,0.5455636151710573,57,MICU3,0.7273314498509564,0.2358701527118683,0.0036624185966772616,0.006713091736385202
144,Thal PuI R,0.5455636151710573,58,NRIP1,0.538442498148418,0.3074838519096374,0.0035344697484870373,0.0064785657441228574
144,Thal PuI R,0.5455636151710573,59,VAMP4,0.2786088067243624,0.5934772491455078,0.0035298929968539004,0.0064701767102762694
144,Thal PuI R,0.5455636151710573,60,FAM171A1,0.5149961088380316,0.316009521484375,0.0034742954002546715,0.006368268160928094
144,Thal PuI R,0.5455636151710573,61,USP25,0.2648746830657229,0.5770121216773987,0.003262781658358327,0.0059805704919220215
144,Thal PuI R,0.5455636151710573,62,RORA,0.930349965691634,0.1622077226638794,0.003221665885878045,0.00590520664554933
144,Thal PuI R,0.5455636151710573,63,PDLIM2,0.7900579372196208,0.1904719173908233,0.0032125694093166966,0.005888533105913633
144,Thal PuI R,0.5455636151710573,64,WNT3,0.9436772674976373,0.1518237739801406,0.0030586226587756716,0.005606353821481778
144,Thal PuI R,0.5455636151710573,65,PIK3CA,0.254683155515455,0.5610139966011047,0.003050257783804413,0.0055910212832797285
