region_id,region_name,broad_mean_expression,stringent_mean_expression,weighted_mean_expression,n_broad_genes_present,n_stringent_genes_present,n_weighted_genes_present,atlas_label,broad_system,analysis_scale
71,Precuneus L,0.49323973243889413,0.4790320370746552,0.48997341096950314,123,34,123,Precuneus_L,cortex,raw_scale_analysis
72,Precuneus R,0.49305406088451015,0.48495281742534274,0.4857367149951781,123,34,123,Precuneus_R,cortex,raw_scale_analysis
73,Paracentral Lobule L,0.5058161830124009,0.4838755674689472,0.5024305976010289,123,34,123,Paracentral_Lobule_L,cortex,raw_scale_analysis
74,Paracentral Lobule R,0.5227685755982862,0.500189799791479,0.5133149393405714,123,34,123,Paracentral_Lobule_R,cortex,raw_scale_analysis
75,Caudate L,0.46640037885617186,0.42403468256110527,0.44683225364907675,123,34,123,Caudate_L,subcortex,raw_scale_analysis
76,Caudate R,0.4731063416828029,0.41801611642590436,0.44814715754054624,123,34,123,Caudate_R,subcortex,raw_scale_analysis
77,Putamen L,0.481153492980649,0.4494733662129226,0.4671196940290997,123,34,123,Putamen_L,subcortex,raw_scale_analysis
78,Putamen R,0.5003074909550069,0.4858166873226811,0.4973787721111945,123,34,123,Putamen_R,subcortex,raw_scale_analysis
79,Pallidum L,0.5043601019139669,0.5007762046882045,0.4974800887553992,123,34,123,Pallidum_L,subcortex,raw_scale_analysis
80,Pallidum R,0.501580419098126,0.5213915463680369,0.5000006452586223,123,34,123,Pallidum_R,subcortex,raw_scale_analysis
83,Heschl L,0.5263266544141402,0.5230523493214848,0.526301305460568,123,34,123,Heschl_L,cortex,raw_scale_analysis
84,Heschl R,0.5236351830845313,0.5198797029328239,0.5160885290373954,123,34,123,Heschl_R,cortex,raw_scale_analysis
85,Temporal Sup L,0.5034994312984176,0.5084625212991627,0.5024099071610241,123,34,123,Temporal_Sup_L,cortex,raw_scale_analysis
86,Temporal Sup R,0.5035134323157381,0.5027175608468436,0.5022632654960368,123,34,123,Temporal_Sup_R,cortex,raw_scale_analysis
87,Temporal Pole Sup L,0.4933081401824229,0.49568686956309993,0.49486131277003714,123,34,123,Temporal_Pole_Sup_L,cortex,raw_scale_analysis
88,Temporal Pole Sup R,0.5248109631251153,0.5287281131039654,0.5292948641931847,123,34,123,Temporal_Pole_Sup_R,cortex,raw_scale_analysis
89,Temporal Mid L,0.49428186422111375,0.501549484437007,0.49605302579277927,123,34,123,Temporal_Mid_L,cortex,raw_scale_analysis
90,Temporal Mid R,0.505773261224906,0.5152055221665219,0.5079267156662716,123,34,123,Temporal_Mid_R,cortex,raw_scale_analysis
91,Temporal Pole Mid L,0.5120800126440723,0.5254015904869334,0.5150593922115161,123,34,123,Temporal_Pole_Mid_L,cortex,raw_scale_analysis
93,Temporal Inf L,0.49879400319362505,0.504282829401801,0.5011692830585954,123,34,123,Temporal_Inf_L,cortex,raw_scale_analysis
94,Temporal Inf R,0.5071036863378642,0.5229318451612299,0.5112457163612667,123,34,123,Temporal_Inf_R,cortex,raw_scale_analysis
95,Cerebellum Crus1 L,0.49466949640571617,0.494223228272953,0.4919679628886286,123,34,123,Cerebellum_Crus1_L,cerebellum,raw_scale_analysis
