region_id,region_name,method,raw_scale_score,gene_standardized_score,raw_scale_label,standardized_scale_label,raw_vs_gene_standardized_pearson_r,primary_or_sensitivity
61,Postcentral L,broad,0.5089652223530561,0.019230958901304097,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
62,Postcentral R,broad,0.501021395732898,-0.024378629070044344,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
63,Parietal Sup L,broad,0.512344726312697,0.04127567395990938,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
64,Parietal Sup R,broad,0.4531712880857386,-0.430040077875476,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
65,Parietal Inf L,broad,0.5124358399291297,0.041515852522010704,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
66,Parietal Inf R,broad,0.5049385781089162,-0.021880178424343255,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
67,SupraMarginal L,broad,0.4846570253585736,-0.17347098239135517,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
68,SupraMarginal R,broad,0.4704579037115745,-0.2730271830242902,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
69,Angular L,broad,0.51210617017441,0.030855356469146424,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
70,Angular R,broad,0.488399428329531,-0.14057060605213434,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
71,Precuneus L,broad,0.49323973243889413,-0.1199239954346659,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
72,Precuneus R,broad,0.49305406088451015,-0.1024471427280601,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
73,Paracentral Lobule L,broad,0.5058161830124009,0.006220735364247524,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
74,Paracentral Lobule R,broad,0.5227685755982862,0.1316624260527497,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
75,Caudate L,broad,0.46640037885617186,-0.3321323359260107,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
76,Caudate R,broad,0.4731063416828029,-0.2743397641506087,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
77,Putamen L,broad,0.481153492980649,-0.20212883595114606,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
78,Putamen R,broad,0.5003074909550069,-0.06971082015557804,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
79,Pallidum L,broad,0.5043601019139669,-0.0289149069033651,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
80,Pallidum R,broad,0.501580419098126,-0.031650575185774237,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
83,Heschl L,broad,0.5263266544141402,0.14645552460193656,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
84,Heschl R,broad,0.5236351830845313,0.13612547073822776,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
85,Temporal Sup L,broad,0.5034994312984176,-0.03678518071791231,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
86,Temporal Sup R,broad,0.5035134323157381,-0.04229412168295855,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
87,Temporal Pole Sup L,broad,0.4933081401824229,-0.11685852872497889,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
88,Temporal Pole Sup R,broad,0.5248109631251153,0.1321969162409545,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
89,Temporal Mid L,broad,0.49428186422111375,-0.10381992051592774,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
90,Temporal Mid R,broad,0.505773261224906,-0.01268792667927345,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
91,Temporal Pole Mid L,broad,0.5120800126440723,0.04505863048611534,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
93,Temporal Inf L,broad,0.49879400319362505,-0.0704020203904727,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
94,Temporal Inf R,broad,0.5071036863378642,0.0027622618719496043,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
95,Cerebellum Crus1 L,broad,0.49466949640571617,-0.1074279155096051,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
96,Cerebellum Crus1 R,broad,0.5331709850548261,0.18268965420918348,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
97,Cerebellum Crus2 L,broad,0.490045929762947,-0.1308549278751091,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
98,Cerebellum Crus2 R,broad,0.5211412367810447,0.09665039197604583,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
101,Cerebellum 4 5 L,broad,0.5428256547085529,0.2688191949291098,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
102,Cerebellum 4 5 R,broad,0.5486448756494278,0.2975985139502268,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
103,Cerebellum 6 L,broad,0.5177890320631001,0.09167083262626283,raw_scale_analysis,gene_standardized_analysis,0.9953337657868796,primary raw-scale plus standardized sensitivity
