disease,disease_id,gene,ensembl_id,l2g_score,number_of_top_regions,mean_expression,mean_weighted_contribution,maximum_weighted_contribution,regions
Attention deficit-hyperactivity disorder,adhd,ABHD5,ENSG00000011198,0.4490311741828918,10,0.4487403355560516,0.016300508447857916,0.019203353759373192,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,XRN2,ENSG00000088930,0.3365316689014435,10,0.5155383007309207,0.014035129516260606,0.016001587175797815,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,LRRC14,ENSG00000160959,0.2472672313451767,10,0.507931680798958,0.010160180356764078,0.012768066622586421,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,GPT,ENSG00000167701,0.2278118878602981,10,0.4590096357026061,0.00845916965674548,0.010465580264521594,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,METTL15,ENSG00000169519,0.2311563044786453,10,0.43275964330449046,0.008092487674252573,0.009542417601226271,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Attention deficit-hyperactivity disorder,adhd,MEF2C,ENSG00000081189,0.1735560446977615,10,0.5762114454388,0.008090049414818494,0.009921033649365774,Angular R;Frontal Inf Orb 2 L;OFCant L;OFCmed L;OFCmed R;OFCpost L;Rectus L;Rectus R;Temporal Inf R;Temporal Mid R
Bipolar disorder,bipolar,CACNA1C,ENSG00000151067,0.7905799150466919,10,0.6633641109813356,0.022495565558111368,0.02724843435647045,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,SSBP2,ENSG00000145687,0.8281353116035461,10,0.6214184883489257,0.022074183125408518,0.026920156028622973,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,THSD7A,ENSG00000005108,0.8941097855567932,10,0.5249712558546998,0.020133790275309555,0.032588204413587105,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,CNNM4,ENSG00000158158,0.6945708394050598,10,0.6720536715075346,0.02002256313519831,0.023686076656570746,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,LMAN2L,ENSG00000114988,0.8279127478599548,10,0.5491691154950322,0.01950248005754382,0.025620796641022167,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,STARD9,ENSG00000159433,0.7391471862792969,10,0.6010306641223742,0.019055779795770535,0.026338960377617338,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,SP4,ENSG00000105866,0.760520339012146,10,0.5690929057848955,0.01856492386568343,0.02291194097743128,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,FES,ENSG00000182511,0.8547126650810242,10,0.4986463278731438,0.018281504434216743,0.023887185346274382,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,SHANK2,ENSG00000162105,0.7138400673866272,10,0.5735187308352291,0.017560937405687597,0.02249433225454994,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,KCNB1,ENSG00000158445,0.709340512752533,10,0.5663966093318796,0.017233543192990322,0.02600074136395227,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
Bipolar disorder,bipolar,XPNPEP1,ENSG00000108039,0.6803702712059021,10,0.5555454644996143,0.01621302688278561,0.018839969801998268,Cerebellum 6 R;Cerebellum 7b L;Cerebellum Crus2 L;Cerebellum Crus2 R;Fusiform R;Lingual R;Putamen R;Temporal Mid L;Temporal Sup L;Thal AV L
