disease,disease_id,gene_set,region,region_id,score,number_of_genes,analysis_scale
Parkinson disease,parkinson,stringent,Frontal Med Orb R,22,0.5242620137846249,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Rectus L,23,0.5409130307266145,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Rectus R,24,0.5504113076320261,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,OFCmed L,25,0.5220570993835694,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,OFCmed R,26,0.528413716579961,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,OFCant L,27,0.538561252691276,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,OFCant R,28,0.5608844020404673,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,OFCpost L,29,0.5065275731576991,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,OFCpost R,30,0.5273826329473204,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,OFClat L,31,0.49030261401320147,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,OFClat R,32,0.5310809980025556,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Insula L,33,0.516592324061307,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Insula R,34,0.5154679614578374,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cingulate Mid L,37,0.5196197365805495,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cingulate Mid R,38,0.5039769800577384,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cingulate Post L,39,0.4970797445478053,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Hippocampus L,41,0.5079767968269158,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Hippocampus R,42,0.4981820731338512,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,ParaHippocampal L,43,0.5248540976507485,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,ParaHippocampal R,44,0.5071804138886602,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Amygdala L,45,0.5221942972977809,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Amygdala R,46,0.4809150015093703,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Calcarine L,47,0.46731987815594805,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Calcarine R,48,0.4675856224638023,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Cuneus L,49,0.45744589659338775,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Lingual L,51,0.46206852095288753,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Lingual R,52,0.4605502311987073,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Occipital Sup L,53,0.4810044032389963,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Occipital Mid L,55,0.4945436999852951,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Occipital Mid R,56,0.5040312360826681,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Occipital Inf L,57,0.4969862860116823,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Occipital Inf R,58,0.5031873650450988,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Fusiform L,59,0.504198886499407,34,raw_scale_analysis
Parkinson disease,parkinson,stringent,Fusiform R,60,0.49421178175538893,34,raw_scale_analysis
