disease_1,disease_2,metric,correlation,p_value,n_regions
Major depressive disorder,Parkinson disease,pearson,0.34663523483848374,3.1151348858762245e-05,138
Major depressive disorder,Parkinson disease,spearman,0.3940350100116669,1.7384713607056268e-06,138
Major depressive disorder,Schizophrenia,pearson,0.49895037394299824,4.706607206471265e-10,138
Major depressive disorder,Schizophrenia,spearman,0.44382621481361395,4.971423604538113e-08,138
Migraine,Migraine,pearson,0.9999999999999993,0.0,138
Migraine,Migraine,spearman,0.9999999999999998,0.0,138
Migraine,Multiple sclerosis,pearson,0.08362069383003776,0.3295133108408211,138
Migraine,Multiple sclerosis,spearman,0.029190230804883224,0.7339612513502584,138
Migraine,Parkinson disease,pearson,0.18171738963133682,0.03291885899752262,138
Migraine,Parkinson disease,spearman,0.20324483034962063,0.016808084270670844,138
Migraine,Schizophrenia,pearson,-0.04246737642119272,0.6209078105057287,138
Migraine,Schizophrenia,spearman,-0.04348739351901531,0.6125378789555276,138
Multiple sclerosis,Multiple sclerosis,pearson,0.9999999999999998,0.0,138
Multiple sclerosis,Multiple sclerosis,spearman,0.9999999999999998,0.0,138
Multiple sclerosis,Parkinson disease,pearson,0.1562911850341192,0.06716447475618875,138
Multiple sclerosis,Parkinson disease,spearman,0.11276310592275147,0.18789842190631728,138
Multiple sclerosis,Schizophrenia,pearson,-0.2709218741586588,0.001309043739131343,138
Multiple sclerosis,Schizophrenia,spearman,-0.2794293920623577,0.0009031972725212259,138
Parkinson disease,Parkinson disease,pearson,1.0,0.0,138
Parkinson disease,Parkinson disease,spearman,0.9999999999999998,0.0,138
Parkinson disease,Schizophrenia,pearson,0.1059063562751587,0.21635389933409166,138
Parkinson disease,Schizophrenia,spearman,0.14334834893113751,0.09348016881205728,138
Schizophrenia,Schizophrenia,pearson,1.0,0.0,138
Schizophrenia,Schizophrenia,spearman,0.9999999999999998,0.0,138
