region,number_of_diseases_with_significant_enrichment,number_of_diseases_with_spatially_robust_enrichment,mean_z_score,maximum_z_score
Cerebellum 8 R,0,0,-0.1464715046326817,3.1590622168644042
Thal VL R,0,0,-0.14823646866699197,1.8210236317945234
Frontal Mid 2 R,0,0,-0.1583008063698742,1.7169538637025543
Cerebellum 10 L,0,0,-0.1628919786697251,1.5754982225504504
Temporal Mid R,0,0,-0.16925154486089766,2.3104545714256206
Cerebellum 6 L,0,0,-0.176675455245283,1.7066909212638621
Thal LGN L,0,0,-0.18413722424884818,1.3348499626745887
Cerebellum 4 5 L,0,0,-0.1967894407809798,1.1185608459243614
Frontal Inf Tri R,0,0,-0.19754429069001636,2.487811107586633
Cerebellum 4 5 R,0,0,-0.1978998856661625,1.1477157252670376
Pallidum L,0,0,-0.20020825355713293,1.216291320036829
SupraMarginal R,0,0,-0.20760344527903835,1.185064435378782
ParaHippocampal R,0,0,-0.21909684474640811,1.414788546948951
Insula L,0,0,-0.2192779284544673,1.3462421563391305
Cerebellum 7b R,0,0,-0.22263035857388225,1.34152699946057
Thal PuA R,0,0,-0.2271135862667478,1.7583635457328546
LC R,0,0,-0.2375123613676049,0.9354366223687848
LC L,0,0,-0.23769655398930317,1.602344153801331
Raphe M,0,0,-0.2514777540469743,1.2065560461897054
Insula R,0,0,-0.25429247623638473,0.71056563151193
Supp Motor Area L,0,0,-0.26000237172858287,0.9654574138017622
Thal PuI R,0,0,-0.28882468205095585,1.3210548918756353
Red N R,0,0,-0.32930943866123574,1.4385246457495493
Frontal Inf Oper R,0,0,-0.3549219781855059,0.6887632297907557
ACC sup L,0,0,-0.3671929151615502,1.4718538669279995
Olfactory L,0,0,-0.38285870148624007,1.4790527164239737
Thal LGN R,0,0,-0.412282130679673,1.6467687522852275
ACC sup R,0,0,-0.4188889534411414,0.6395910794624573
Paracentral Lobule R,0,0,-0.42270086773281623,1.3411689780076388
Temporal Pole Mid L,0,0,-0.43811770596690086,1.5851810807586022
Red N L,0,0,-0.4402356122481123,2.964599814992071
Postcentral R,0,0,-0.4467000749498943,1.5479482549762924
Fusiform R,0,0,-0.4596956751296066,1.475714147492753
Postcentral L,0,0,-0.46355344285376027,1.1366700125054547
Thal VA L,0,0,-0.4863908041650493,2.10470677010584
SN pr L,0,0,-0.5032320026668702,1.814260728848307
Thal VPL L,0,0,-0.5050702868093098,1.8619514360346658
Cerebellum 9 L,0,0,-0.5295605619122623,1.4360232832652868
Cerebellum 6 R,0,0,-0.5370947005219906,1.473558976328766
Cingulate Mid R,0,0,-0.5376954137086026,1.2929431101525473
Frontal Inf Orb 2 R,0,0,-0.5562971966061934,1.101348964850126
Olfactory R,0,0,-0.5932079390088678,1.04311114105041
Cerebellum Crus1 R,0,0,-0.5945164097729185,0.8735068638150427
Cerebellum Crus1 L,0,0,-0.6170164153611806,1.5441771162636653
Thal VPL R,0,0,-0.6635418433558053,2.0015447168932803
Cerebellum 9 R,0,0,-0.6739581081865834,0.7516639016210728
Parietal Sup R,0,0,-0.6783027855888472,0.7106259875575216
Precentral L,0,0,-0.6852639196282555,0.7810114329636286
Temporal Pole Sup R,0,0,-0.7051048240183698,1.0585319105522555
