region_id,mean_expression,median_expression,std_expression,min_expression,max_expression
47,0.4979328090186082,0.49751682952155524,0.15176581339047426,0.08758176768543098,0.8923078759358135
48,0.47446116656135584,0.4646358700858291,0.1717873721710895,0.04968081468767105,0.9310477614865598
49,0.4908422211120547,0.48968481697943267,0.14585381071491377,0.07639327740296606,0.9232765037811426
51,0.5001217619598287,0.5077230710410952,0.13557254730482263,0.09765868545593868,0.8855701102212539
52,0.49713281327574343,0.49240480283775534,0.13191986635000522,0.09730325448049792,0.8770481895652816
53,0.5144281947470282,0.5154319316607388,0.1221828783980895,0.10719489984037062,0.8666373126514829
55,0.5038984576172983,0.5000043252156317,0.09239989299420086,0.14475680896603907,0.846988327282185
56,0.5036157934563812,0.5036496846380484,0.11050300883272468,0.13293890673665448,0.8515265755655229
57,0.5093263437566595,0.5115782112972741,0.10546490462626386,0.15429244720983668,0.8722368590159468
58,0.5019195890505519,0.5021116409148912,0.13302142080220067,0.05632250828070107,0.9160042202009466
59,0.4977800749981981,0.49798288516003786,0.07120623620045145,0.19225954238413157,0.8518458685498974
60,0.5012527514775795,0.49965030134826727,0.08213504560845204,0.16400676919235113,0.8601612012885756
61,0.5090203573980019,0.5102640113008081,0.09825024812473397,0.1667674129256126,0.8570087373054841
62,0.5059261301916124,0.5099996723279594,0.10250279562760879,0.13640627931567462,0.8332619514505601
63,0.5027828056044474,0.5006295619151999,0.07971449299741305,0.12752391366448293,0.8190942864861804
64,0.46208950491166995,0.45810047609461096,0.13739987653516444,0.027429118859281586,0.906919648236844
65,0.512069417379188,0.5095786097884483,0.06893250095231031,0.21422594223564548,0.7799979659903902
66,0.49435176618443505,0.49252901279006867,0.11353545361557109,0.12412695481186967,0.8714156767516442
67,0.47649629218045003,0.47658638606849424,0.07240693674833722,0.2114142909040837,0.7425414924778608
68,0.4908072704284594,0.4891062778239962,0.11346099734830378,0.11558074160216213,0.8501166080631416
69,0.503963238633555,0.5032511623321162,0.08471908494379017,0.16513900424369948,0.8383921302360964
70,0.48646070814036146,0.48573777243201544,0.0925291131346509,0.12886046916286215,0.8550163884708382
71,0.4992225789347934,0.4973489581975028,0.06833497986011816,0.2204055608536105,0.8299025181864094
72,0.48147429657926993,0.47940374308977884,0.07495205085527103,0.17896985005189703,0.7699397963271931
73,0.5076458079565659,0.509471167511736,0.12320909406242228,0.0890471914130981,0.9307862010666478
74,0.5190493169262738,0.521891003275436,0.18541947108229756,0.02263879472383267,0.9874670856998172
75,0.5080195763784756,0.5057695841909404,0.15637292689433613,0.05060474023399963,0.9496993700306805
76,0.513800672377999,0.5068761309735585,0.16053134774268935,0.022340693861585516,0.9858842906795529
77,0.497847741037864,0.4935623474604517,0.11068463831209857,0.09165332338522547,0.8964434700082221
78,0.5073751504882703,0.5076080236591205,0.12374485338146894,0.06768464523134214,0.9704428194197068
79,0.5134152543563872,0.513598996588092,0.10060540566738953,0.0824334857289279,0.8370353931182583
80,0.536616968609155,0.5364884226895169,0.20022668810983166,0.023283764376329827,0.9687202358685558
83,0.5122821197171845,0.5185050856274074,0.11709874085171536,0.12561469886127125,0.8655317121085998
84,0.5045012090139266,0.5066666451031531,0.16346623278421873,0.03786773788666336,0.9865748487246868
85,0.5005978118462765,0.5013863346826799,0.05010488533038145,0.26316944652883884,0.7818936722945068
86,0.491205156784494,0.49014377217076444,0.0670476993975437,0.22482201400326776,0.7839686163188919
87,0.49871809985913174,0.4906649100417274,0.1330557687197466,0.11444085975325669,0.9162004733297423
88,0.5275817586828204,0.5371835460638832,0.16857283970155224,0.06617442515004565,0.9666406555937137
89,0.49155620288497964,0.49055757970167574,0.04703875167724936,0.22621758389159907,0.7933521937054658
90,0.5061033241760505,0.5058349949493929,0.058709834183873995,0.2552547607319584,0.8206388314297359
91,0.5140267277965023,0.5093546558940035,0.15498671116637344,0.07183835866450604,0.9531055034216354
93,0.4976800409948845,0.4920442825470982,0.06992072099565902,0.20535877553666734,0.8303176113152282
94,0.5002753548278492,0.499357050823151,0.06751568431329362,0.20451397018596673,0.8543716060054725
95,0.4865701083236265,0.48366080466663586,0.10671374552652606,0.08954233520798614,0.8798379255677498
96,0.5350493912961098,0.5486882777573165,0.16327135614245641,0.019327366962289688,0.9502520296536265
97,0.49290112705239114,0.48488333833172426,0.11449562025197668,0.09664169598834771,0.8581205965598184
98,0.5328600306448069,0.5398219125114012,0.13723430068424022,0.06571016305805341,0.8718044935062264
101,0.5229059019663498,0.5228641419726408,0.08312323320409729,0.1471381858298768,0.8761037839773412
102,0.5229643941301914,0.5278071057867542,0.16981273378036096,0.0,1.0
103,0.5070341963213053,0.5129261438217991,0.09854106846017545,0.1361930326649809,0.9033300151641099
104,0.49744931965101613,0.496696701578042,0.15356045672372762,0.05723093270152206,0.9091851471765586
105,0.4994515098192012,0.4973454066636357,0.1291196020059833,0.029119047304442074,0.9285722188907598
106,0.49790109918513936,0.49072124972556597,0.19139528449043217,0.0,1.0
107,0.5041608146898404,0.5032523143014007,0.08209232737374669,0.14222501353221495,0.8278927043513186
108,0.5024494815035421,0.5020945281505238,0.07577061625204758,0.14968402013851564,0.8098476427705659
109,0.4852105129001208,0.4899270651603736,0.10406221832418551,0.11117414348162706,0.8663482595299253
110,0.4898778055112862,0.49199863977102914,0.12056211163006138,0.06346486426978887,0.8753035656170418
111,0.5113667231408393,0.5175003100566289,0.14963472840078854,0.0,0.9961153429930656
118,0.512223955283457,0.5543013393070632,0.36159877142440494,0.00025853060312065285,1.0
119,0.49180412602500306,0.5026515486628927,0.3665051532252171,0.0006253760198623568,0.9996770393089801
121,0.5150858482182425,0.5132520046364762,0.11944984333540071,0.08741755361895837,0.9580168603787605
