region_id,region_name,atlas_label,hemisphere,structure,broad_system,anatomical_hierarchy,centroid_mni_x,centroid_mni_y,centroid_mni_z,total_assigned_samples,donors_with_samples,retained_in_main_matrix,coverage_status
69,Angular L,Angular_L,L,cortex,cortex,brain/cortex/cortex,-44.434782608695656,-62.08184143222506,34.28303495311168,15,5,True,retained
70,Angular R,Angular_R,R,cortex,cortex,brain/cortex/cortex,45.22831050228311,-61.23858447488584,37.31506849315069,6,2,True,retained
71,Precuneus L,Precuneus_L,L,cortex,cortex,brain/cortex/cortex,-7.590702947845799,-57.324829931972786,46.64002267573696,41,6,True,retained
72,Precuneus R,Precuneus_R,R,cortex,cortex,brain/cortex/cortex,9.688820826952522,-57.31393568147014,42.36079632465544,13,2,True,retained
73,Paracentral Lobule L,Paracentral_Lobule_L,L,cortex,cortex,brain/cortex/cortex,-7.974796145292814,-26.650852483320975,68.6923647146034,23,6,True,retained
74,Paracentral Lobule R,Paracentral_Lobule_R,R,cortex,cortex,brain/cortex/cortex,7.126794258373209,-32.942583732057415,66.79186602870814,2,2,True,retained
75,Caudate L,Caudate_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-12.63105590062112,9.11055900621119,10.991304347826087,41,6,True,retained
76,Caudate R,Caudate_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,15.20789779326364,10.487804878048792,10.515679442508713,15,2,True,retained
77,Putamen L,Putamen_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-24.34634634634635,2.530530530530541,1.1711711711711672,59,6,True,retained
78,Putamen R,Putamen_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,27.51035781544256,3.66478342749528,1.2109227871939794,24,2,True,retained
79,Pallidum L,Pallidum_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-18.061433447098977,-1.3583617747440258,-1.0443686006825885,49,6,True,retained
80,Pallidum R,Pallidum_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,20.921428571428578,-1.057142857142864,-1.085714285714289,4,2,True,retained
83,Heschl L,Heschl_L,L,cortex,cortex,brain/cortex/cortex,-42.346666666666664,-20.03555555555556,8.675555555555562,8,5,True,retained
84,Heschl R,Heschl_R,R,cortex,cortex,brain/cortex/cortex,45.87951807228916,-18.144578313253007,9.044176706827315,2,2,True,retained
85,Temporal Sup L,Temporal_Sup_L,L,cortex,cortex,brain/cortex/cortex,-53.435540069686425,-22.009581881533094,5.840592334494772,55,6,True,retained
86,Temporal Sup R,Temporal_Sup_R,R,cortex,cortex,brain/cortex/cortex,57.83253740846864,-23.01050620821394,5.418656478828396,18,2,True,retained
87,Temporal Pole Sup L,Temporal_Pole_Sup_L,L,cortex,cortex,brain/cortex/cortex,-40.15408560311283,13.867704280155635,-21.436575875486383,21,6,True,retained
88,Temporal Pole Sup R,Temporal_Pole_Sup_R,R,cortex,cortex,brain/cortex/cortex,47.937219730941706,13.45739910313901,-18.1898355754858,4,2,True,retained
89,Temporal Mid L,Temporal_Mid_L,L,cortex,cortex,brain/cortex/cortex,-55.86887899635775,-34.98421691622825,-3.584783488466215,96,6,True,retained
90,Temporal Mid R,Temporal_Mid_R,R,cortex,cortex,brain/cortex/cortex,57.15990020412792,-38.565661147652534,-2.7752324790201897,22,2,True,retained
91,Temporal Pole Mid L,Temporal_Pole_Mid_L,L,cortex,cortex,brain/cortex/cortex,-36.74437086092715,13.300662251655638,-35.36688741721854,14,4,True,retained
92,Temporal Pole Mid R,Temporal_Pole_Mid_R,R,cortex,cortex,brain/cortex/cortex,44.04043807919124,13.246840775063191,-33.51811288963774,0,0,False,no_assigned_samples
93,Temporal Inf L,Temporal_Inf_L,L,cortex,cortex,brain/cortex/cortex,-50.036249999999995,-29.291875000000005,-24.519374999999997,105,6,True,retained
94,Temporal Inf R,Temporal_Inf_R,R,cortex,cortex,brain/cortex/cortex,53.38206353668822,-32.13888107956143,-23.730671914534717,45,2,True,retained
95,Cerebellum Crus1 L,Cerebellum_Crus1_L,L,cerebellum,cerebellum,brain/cerebellum/cerebellum,-35.38532462543219,-67.94314252785247,-30.262773722627735,19,6,True,retained
96,Cerebellum Crus1 R,Cerebellum_Crus1_R,R,cerebellum,cerebellum,brain/cerebellum/cerebellum,38.21450151057402,-68.37160120845923,-30.849697885196377,5,2,True,retained
97,Cerebellum Crus2 L,Cerebellum_Crus2_L,L,cerebellum,cerebellum,brain/cerebellum/cerebellum,-27.768743400211193,-74.57972544878564,-39.44350580781415,36,6,True,retained
98,Cerebellum Crus2 R,Cerebellum_Crus2_R,R,cerebellum,cerebellum,brain/cerebellum/cerebellum,32.673594709494566,-70.39678790741615,-41.20170051960321,10,2,True,retained
99,Cerebellum 3 L,Cerebellum_3_L,L,cerebellum,cerebellum,brain/cerebellum/cerebellum,-8.117647058823536,-38.367647058823536,-19.779411764705884,2,1,False,insufficient_coverage
100,Cerebellum 3 R,Cerebellum_3_R,R,cerebellum,cerebellum,brain/cerebellum/cerebellum,13.062801932367151,-35.710144927536234,-20.59903381642512,2,1,False,insufficient_coverage
101,Cerebellum 4 5 L,Cerebellum_4_5_L,L,cerebellum,cerebellum,brain/cerebellum/cerebellum,-14.343111111111114,-44.66311111111111,-18.261333333333333,35,6,True,retained
102,Cerebellum 4 5 R,Cerebellum_4_5_R,R,cerebellum,cerebellum,brain/cerebellum/cerebellum,17.888501742160273,-44.16492450638792,-19.354239256678284,2,2,True,retained
103,Cerebellum 6 L,Cerebellum_6_L,L,cerebellum,cerebellum,brain/cerebellum/cerebellum,-22.525383707201883,-60.25855962219599,-23.480519480519483,26,6,True,retained
104,Cerebellum 6 R,Cerebellum_6_R,R,cerebellum,cerebellum,brain/cerebellum/cerebellum,25.429526462395543,-59.53760445682451,-24.94038997214485,6,2,True,retained
105,Cerebellum 7b L,Cerebellum_7b_L,L,cerebellum,cerebellum,brain/cerebellum/cerebellum,-31.58974358974359,-61.04957264957265,-46.75213675213675,9,6,True,retained
106,Cerebellum 7b R,Cerebellum_7b_R,R,cerebellum,cerebellum,brain/cerebellum/cerebellum,33.92883895131086,-64.40823970037454,-49.760299625468164,2,2,True,retained
107,Cerebellum 8 L,Cerebellum_8_L,L,cerebellum,cerebellum,brain/cerebellum/cerebellum,-25.029146793852675,-55.77106518282989,-49.05458399576047,31,6,True,retained
108,Cerebellum 8 R,Cerebellum_8_R,R,cerebellum,cerebellum,brain/cerebellum/cerebellum,25.77296360485269,-57.63084922010398,-50.79809358752166,11,2,True,retained
109,Cerebellum 9 L,Cerebellum_9_L,L,cerebellum,cerebellum,brain/cerebellum/cerebellum,-10.25316455696202,-50.18872266973533,-47.23590333716916,17,5,True,retained
110,Cerebellum 9 R,Cerebellum_9_R,R,cerebellum,cerebellum,brain/cerebellum/cerebellum,10.190358467243513,-50.75154511742892,-47.62422744128554,5,2,True,retained
111,Cerebellum 10 L,Cerebellum_10_L,L,cerebellum,cerebellum,brain/cerebellum/cerebellum,-21.79166666666667,-35.0,-43.06944444444444,5,3,True,retained
112,Cerebellum 10 R,Cerebellum_10_R,R,cerebellum,cerebellum,brain/cerebellum/cerebellum,26.80503144654088,-35.01886792452831,-42.64150943396226,0,0,False,no_assigned_samples
113,Vermis 1 2,Vermis_1_2,B,cerebellum,cerebellum,brain/cerebellum/cerebellum,1.461538461538467,-40.19230769230769,-21.384615384615387,0,0,False,no_assigned_samples
114,Vermis 3,Vermis_3,B,cerebellum,cerebellum,brain/cerebellum/cerebellum,2.05263157894737,-41.28947368421052,-12.719298245614034,0,0,False,no_assigned_samples
115,Vermis 4 5,Vermis_4_5,B,cerebellum,cerebellum,brain/cerebellum/cerebellum,1.834586466165419,-53.59398496240601,-7.401503759398494,0,0,False,no_assigned_samples
116,Vermis 6,Vermis_6,B,cerebellum,cerebellum,brain/cerebellum/cerebellum,1.7681940700808667,-68.35040431266847,-16.39353099730458,2,1,False,insufficient_coverage
117,Vermis 7,Vermis_7,B,cerebellum,cerebellum,brain/cerebellum/cerebellum,1.865979381443296,-73.1958762886598,-26.350515463917525,0,0,False,no_assigned_samples
118,Vermis 8,Vermis_8,B,cerebellum,cerebellum,brain/cerebellum/cerebellum,1.8106995884773625,-65.65432098765433,-35.349794238683124,4,3,True,retained
119,Vermis 9,Vermis_9,B,cerebellum,cerebellum,brain/cerebellum/cerebellum,1.6091954022988517,-56.172413793103445,-36.298850574712645,8,4,True,retained
120,Vermis 10,Vermis_10,B,cerebellum,cerebellum,brain/cerebellum/cerebellum,1.1428571428571388,-47.125,-32.875,2,1,False,insufficient_coverage
121,Thal AV L,Thal_AV_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-5.78947368421052,-6.631578947368425,8.631578947368425,7,4,True,retained
122,Thal AV R,Thal_AV_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,5.519999999999996,-5.599999999999994,8.719999999999999,2,2,True,retained
123,Thal LP L,Thal_LP_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-10.079999999999998,-16.879999999999995,16.08,1,1,False,insufficient_coverage
124,Thal LP R,Thal_LP_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,8.285714285714292,-14.642857142857139,15.142857142857139,1,1,False,insufficient_coverage
125,Thal VA L,Thal_VA_L,L,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,-10.61904761904762,-5.285714285714292,4.452380952380949,15,5,True,retained
126,Thal VA R,Thal_VA_R,R,subcortex/brainstem,subcortex,brain/subcortex/brainstem/subcortex,10.333333333333329,-3.7692307692307736,4.512820512820511,1,1,False,insufficient_coverage
