gene_symbol,entrez_id,ahba_probe_ids,ahba_probe_names,n_reannotated_candidate_probes,mapping_source,probe_selection,probe_note
ABCG4,64137.0,1014097;1014329;1015836,CUST_16202_PI416261804;CUST_16196_PI416261804;A_24_P355626,3,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABCG8,64241.0,1039918;1039919,A_23_P90577;CUST_16054_PI416261804,2,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABHD1,84696.0,1037409;1037410,A_23_P17242;CUST_6198_PI416261804,2,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABHD10,55347.0,1041937;1041938;1041939,A_23_P92213;A_24_P268662;A_24_P308590,3,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABHD11,83451.0,1023804;1023805;1023806;1023807,A_23_P315933;A_23_P8558;A_23_P362712;CUST_11448_PI416261804,4,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABHD12,26090.0,1021296;1021297;1045049,A_23_P149494;CUST_6317_PI416261804;A_23_P367026,3,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABHD12B,145447.0,1024790;1024791,A_23_P366035;CUST_7223_PI416261804,2,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABHD13,84945.0,1037198;1037199;1037200,A_24_P398691;A_24_P61464;A_23_P205027,3,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABHD14A,25864.0,1045270,A_23_P69267,1,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
ABHD14B,84836.0,1018860;1019146,A_23_P155417;A_24_P337140,2,Arnatkeviciute et al. 2019 reannotation distributed with abagen,differential stability after 0.5 intensity filtering,Probe lists are reannotated candidates for the retained gene; abagen's public result exposes gene symbols rather than the selected probe ID.
