disease,disease_id,study_accession,trait,publication,pmid,publication_year,discovery_sample_size,replication_sample_size,ancestry,number_of_associations,summary_statistics_available,genome_build,candidate_eligible,primary_selected,selection_assessment,source,access_date
Parkinson disease,parkinson,GCST90308590,Parkinson's disease,Multi-ancestry genome-wide association meta-analysis of Parkinson's disease.,38155330,2023,2525730,0,European; East Asian; Hispanic or Latin American; African unspecified,121,False,GRCh38.p14 (current GWAS Catalog mapping),True,True,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90308590,2026-09-14
Parkinson disease,parkinson,GCST90018894,Parkinson's disease,A cross-population atlas of genetic associations for 220 human phenotypes.,34594039,2021,656146,0,European; East Asian,2,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90018894,2026-09-14
Parkinson disease,parkinson,GCST90480008,Parkinson's disease,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,630290,0,African American or Afro-Caribbean; European; Hispanic or Latin American,4,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90480008,2026-09-14
Parkinson disease,parkinson,GCST90275127,Parkinson's disease,Multi-ancestry genome-wide association meta-analysis of Parkinson's disease.,38155330,2023,611485,0,European; East Asian; Hispanic or Latin American,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90275127,2026-09-14
Parkinson disease,parkinson,GCST90104087,Parkinson's disease,Common X-Chromosome Variants Are Associated with Parkinson Disease Risk.,33583074,2021,564139,4026,European,4,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90104087,2026-09-14
Parkinson disease,parkinson,GCST90455618,Parkinson's disease,Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.,39080267,2024,539017,0,European,10,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90455618,2026-09-14
Parkinson disease,parkinson,GCST90475830,Parkinson's disease,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,448956,0,European,3,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90475830,2026-09-14
Parkinson disease,parkinson,GCST010991,Parkinson's disease,Genome-wide Association Analysis of Parkinson's Disease and Schizophrenia Reveals Shared Genetic Architecture and Identifies Novel Risk Loci.,32201043,2020,417508,0,European,55,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST010991,2026-09-14
Parkinson disease,parkinson,GCST004902,Parkinson's disease,A meta-analysis of genome-wide association studies identifies 17 new Parkinson's disease risk loci.,28892059,2017,417508,11717,European,55,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST004902,2026-09-14
Parkinson disease,parkinson,GCST90479727,Parkinson's disease,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,400487,0,African American or Afro-Caribbean; European; Hispanic or Latin American,5,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90479727,2026-09-14
Parkinson disease,parkinson,GCST003984,Parkinson's disease,Detection and interpretation of shared genetic influences on 42 human traits.,27182965,2016,334141,0,European,25,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST003984,2026-09-14
Parkinson disease,parkinson,GCST90476961,Parkinson's disease,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,39024449,2024,315668,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90476961,2026-09-14
Alzheimer disease,alzheimer,GCST90444373,Alzheimer's disease,Role of the X Chromosome in Alzheimer Disease Genetics.,39250132,2024,1152284,0,European,7,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90444373,2026-09-14
Alzheimer disease,alzheimer,GCST90301303,Alzheimer's disease,Multi-ancestry meta-analysis and fine-mapping in Alzheimer's disease.,37198259,2023,644186,0,European; African American or Afro-Caribbean; African unspecified; East Asian; Hispanic or Latin American,70,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90301303,2026-09-14
Alzheimer disease,alzheimer,GCST90444374,Alzheimer's disease,Role of the X Chromosome in Alzheimer Disease Genetics.,39250132,2024,579851,0,European,2,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90444374,2026-09-14
Alzheimer disease,alzheimer,GCST90444375,Alzheimer's disease,Role of the X Chromosome in Alzheimer Disease Genetics.,39250132,2024,574088,0,European,1,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90444375,2026-09-14
Alzheimer disease,alzheimer,GCST90399479,Alzheimer's disease,The first genome-wide association study in the Argentinian and Chilean populations identifies shared genetics with Europeans in Alzheimer's disease.,37985413,2023,488904,0,Hispanic or Latin American; European,86,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90399479,2026-09-14
Alzheimer disease,alzheimer,GCST90027158,Alzheimer's disease,New insights into the genetic etiology of Alzheimer's disease and related dementias.,35379992,2022,487511,301478,European; NR,89,True,GRCh38.p14 (current GWAS Catalog mapping),True,True,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90027158,2026-09-14
Alzheimer disease,alzheimer,GCST012182,Alzheimer's disease,Common variants in Alzheimer's disease and risk stratification by polygenic risk scores.,34099642,2021,409435,58188,European,14,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST012182,2026-09-14
Alzheimer disease,alzheimer,GCST90444376,Alzheimer's disease,Role of the X Chromosome in Alzheimer Disease Genetics.,39250132,2024,387929,0,European,1,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90444376,2026-09-14
Alzheimer disease,alzheimer,GCST90704648,Alzheimer's disease,Consensus meta-analysis of genome-wide association studies for Alzheimer's disease and related dementias.,42237039,2026,147103,0,European,163,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90704648,2026-09-14
Alzheimer disease,alzheimer,GCST90565439,Alzheimer's disease,Transferability of European-derived Alzheimer's disease polygenic risk scores across multiancestry populations.,40533518,2025,99796,0,European,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90565439,2026-09-14
Alzheimer disease,alzheimer,GCST012214,Alzheimer's disease,Ethnic and trans-ethnic genome-wide association studies identify new loci influencing Japanese Alzheimer's disease risk.,33654092,2021,71962,3662,East Asian; European,8,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST012214,2026-09-14
Alzheimer disease,alzheimer,GCST009021,Alzheimer's disease,Genome-wide association analysis of dementia and its clinical endophenotypes reveal novel loci associated with Alzheimer's disease and three causality networks: The GR@ACE project.,31473137,2019,61571,24843,European; NR,20,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST009021,2026-09-14
Huntington disease,huntington,GCST004691,Huntington's disease progression,Identification of genetic variants associated with Huntington's disease progression: a genome-wide association study.,28642124,2017,1989,0,European; NR,20,False,GRCh38.p14 (current GWAS Catalog mapping),False,False,phenotype is not the configured direct disease-risk trait,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST004691,2026-09-14
Amyotrophic lateral sclerosis,als,GCST90027163,Amyotrophic lateral sclerosis,Common and rare variant association analyses in amyotrophic lateral sclerosis identify 15 risk loci with distinct genetic architectures and neuron-specific biology.,34873335,2021,152268,0,European; East Asian,12,True,GRCh38.p14 (current GWAS Catalog mapping),True,True,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90027163,2026-09-14
Amyotrophic lateral sclerosis,als,GCST90027164,Amyotrophic lateral sclerosis,Common and rare variant association analyses in amyotrophic lateral sclerosis identify 15 risk loci with distinct genetic architectures and neuron-specific biology.,34873335,2021,138086,0,European,16,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90027164,2026-09-14
Amyotrophic lateral sclerosis,als,GCST90013429,Amyotrophic lateral sclerosis,Genome-wide Meta-analysis Finds the ACSL5-ZDHHC6 Locus Is Associated with ALS and Links Weight Loss to the Disease Genetics.,33113361,2020,84694,1502,European; East Asian,0,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90013429,2026-09-14
Amyotrophic lateral sclerosis,als,GCST010857,Amyotrophic lateral sclerosis,"A multi-ethnic meta-analysis identifies novel genes, including ACSL5, associated with amyotrophic lateral sclerosis.",32968195,2020,84343,5762,East Asian; European,1,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST010857,2026-09-14
Amyotrophic lateral sclerosis,als,GCST90833053,Amyotrophic lateral sclerosis,Large-scale exome analyses reveal new rare variant contributions in amyotrophic lateral sclerosis.,41917433,2026,82913,135709,European,5,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90833053,2026-09-14
Amyotrophic lateral sclerosis,als,GCST005647,Amyotrophic lateral sclerosis,Genome-wide Analyses Identify KIF5A as a Novel ALS Gene.,29566793,2018,80610,22809,European; NR,10,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST005647,2026-09-14
Amyotrophic lateral sclerosis,als,GCST004692,Amyotrophic lateral sclerosis,Genome-wide association analyses identify new risk variants and the genetic architecture of amyotrophic lateral sclerosis.,27455348,2016,36052,5346,European,7,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST004692,2026-09-14
Amyotrophic lateral sclerosis,als,GCST90271545,Amyotrophic lateral sclerosis,Genome-Wide Gene-Set Analysis Identifies Molecular Mechanisms Associated with ALS.,36835433,2023,22039,0,European,0,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90271545,2026-09-14
Amyotrophic lateral sclerosis,als,GCST002509,Amyotrophic lateral sclerosis,C9orf72 and UNC13A are shared risk loci for amyotrophic lateral sclerosis and frontotemporal dementia: a genome-wide meta-analysis.,24931836,2014,17394,0,European,6,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST002509,2026-09-14
Amyotrophic lateral sclerosis,als,GCST000820,Amyotrophic lateral sclerosis,Chromosome 9p21 in sporadic amyotrophic lateral sclerosis in the UK and seven other countries: a genome-wide association study.,20801717,2010,13844,0,European,4,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST000820,2026-09-14
Amyotrophic lateral sclerosis,als,GCST000481,Amyotrophic lateral sclerosis,Genome-wide association study identifies 19p13.3 (UNC13A) and 9p21.2 as susceptibility loci for sporadic amyotrophic lateral sclerosis.,19734901,2009,11336,8472,European,8,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST000481,2026-09-14
Amyotrophic lateral sclerosis,als,GCST001664,Amyotrophic lateral sclerosis,Age of onset of amyotrophic lateral sclerosis is modulated by a locus on 1p34.1.,22959728,2012,9355,0,European,15,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST001664,2026-09-14
Multiple system atrophy,multiple_system_atrophy,GCST90558035,Multiple system atrophy,Chromosome X-wide association study in multiple system atrophy identifies sex-differential risk loci.,41684229,2026,8016,0,European,1,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90558035,2026-09-14
Multiple system atrophy,multiple_system_atrophy,GCST90406924,Multiple system atrophy,Genome sequence analyses identify novel risk loci for multiple system atrophy.,38701790,2024,8016,0,European,2,True,GRCh38.p14 (current GWAS Catalog mapping),True,True,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90406924,2026-09-14
Multiple system atrophy,multiple_system_atrophy,GCST90406925,Multiple system atrophy,Genome sequence analyses identify novel risk loci for multiple system atrophy.,38701790,2024,8016,0,European,2,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90406925,2026-09-14
Multiple system atrophy,multiple_system_atrophy,GCST003784,Multiple system atrophy,A genome-wide association study in multiple system atrophy.,27629089,2016,4782,0,European,22,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST003784,2026-09-14
Multiple system atrophy,multiple_system_atrophy,GCST003179,Multiple system atrophy,Genome-wide estimate of the heritability of Multiple System Atrophy.,26589003,2015,4773,0,European,0,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST003179,2026-09-14
Multiple system atrophy,multiple_system_atrophy,GCST90558036,Multiple system atrophy,Chromosome X-wide association study in multiple system atrophy identifies sex-differential risk loci.,41684229,2026,4157,0,European,1,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90558036,2026-09-14
Multiple system atrophy,multiple_system_atrophy,GCST90558037,Multiple system atrophy,Chromosome X-wide association study in multiple system atrophy identifies sex-differential risk loci.,41684229,2026,3859,0,European,1,True,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90558037,2026-09-14
Multiple system atrophy,multiple_system_atrophy,GCST90244127,Multiple system atrophy,Common Variants Near ZIC1 and ZIC4 in Autopsy-Confirmed Multiple System Atrophy.,35997131,2022,3240,0,European; African American or Afro-Caribbean,10,False,GRCh38.p14 (current GWAS Catalog mapping),True,False,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST90244127,2026-09-14
Multiple system atrophy,multiple_system_atrophy,GCST003783,Multiple system atrophy (pathologically confirmed),A genome-wide association study in multiple system atrophy.,27629089,2016,4159,0,European,16,False,GRCh38.p14 (current GWAS Catalog mapping),False,False,phenotype is not the configured direct disease-risk trait,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST003783,2026-09-14
Progressive supranuclear palsy,progressive_supranuclear_palsy,GCST006418,Progressive supranuclear palsy,Joint genome-wide association study of progressive supranuclear palsy identifies novel susceptibility loci and genetic correlation to neurodegenerative diseases.,30089514,2018,12308,0,European,13,False,GRCh38.p14 (current GWAS Catalog mapping),True,True,direct disease-risk phenotype and variant-level genome-wide design,https://www.ebi.ac.uk/gwas/rest/api/studies/GCST006418,2026-09-14
