gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
EED,ENSG00000074266,0.5098304748535156,0.5098304748535156,0.2805866729468107,2,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PRSS36,ENSG00000178226,0.5066303014755249,0.5066303014755249,0.5066303014755249,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PRDM7,ENSG00000126856,0.4919806718826294,0.4919806718826294,0.4919806718826294,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TOMM40,ENSG00000130204,0.47837042808532715,0.47837042808532715,0.16879127733409405,4,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
BCAM,ENSG00000187244,0.4465904235839844,0.4465904235839844,0.4465904235839844,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SCIMP,ENSG00000161929,0.42298635840415955,0.42298635840415955,0.42298635840415955,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
LILRB5,ENSG00000105609,0.41727215051651,0.41727215051651,0.22081216424703598,4,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SLC39A13,ENSG00000165915,0.3960976004600525,0.3960976004600525,0.3960976004600525,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
DOC2A,ENSG00000149927,0.3477449417114258,0.3477449417114258,0.3477449417114258,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ATP5PF,ENSG00000154723,0.3427254855632782,0.3427254855632782,0.3427254855632782,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RNF43,ENSG00000108375,0.3346520662307739,0.3346520662307739,0.3346520662307739,1,GCST90027158,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
