gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
MPHOSPH9,ENSG00000051825,0.4602932035923004,0.4602932035923004,0.4602932035923004,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NEK1,ENSG00000137601,0.4558764100074768,0.4558764100074768,0.4558764100074768,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
KCNC2,ENSG00000166006,0.4536018669605255,0.4536018669605255,0.4536018669605255,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SNORC,ENSG00000182600,0.4490813612937927,0.4490813612937927,0.4490813612937927,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PPP1R13B,ENSG00000088808,0.4468323588371277,0.4468323588371277,0.4468323588371277,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MAIP1,ENSG00000162972,0.4451875388622284,0.4451875388622284,0.4451875388622284,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CA8,ENSG00000178538,0.44491174817085266,0.44491174817085266,0.44491174817085266,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SMPD3,ENSG00000103056,0.4356858730316162,0.4356858730316162,0.4356858730316162,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
EXOC4,ENSG00000131558,0.4343331456184387,0.4343331456184387,0.4343331456184387,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MRPL33,ENSG00000243147,0.433312326669693,0.433312326669693,0.433312326669693,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SPIRE2,ENSG00000204991,0.43052613735198975,0.43052613735198975,0.43052613735198975,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CUL9,ENSG00000112659,0.42952561378479004,0.42952561378479004,0.42952561378479004,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FRMD5,ENSG00000171877,0.4257957935333252,0.4257957935333252,0.4257957935333252,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
AGO1,ENSG00000092847,0.42210909724235535,0.42210909724235535,0.42210909724235535,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SHANK3,ENSG00000251322,0.41992732882499695,0.41992732882499695,0.41992732882499695,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
STAG1,ENSG00000118007,0.4173640310764313,0.4173640310764313,0.4173640310764313,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
AP3B2,ENSG00000103723,0.4128381907939911,0.4128381907939911,0.4128381907939911,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DDHD2,ENSG00000085788,0.41010117530822754,0.41010117530822754,0.41010117530822754,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SH3RF1,ENSG00000154447,0.40379753708839417,0.40379753708839417,0.40379753708839417,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ACTC1,ENSG00000159251,0.40242111682891846,0.40242111682891846,0.40242111682891846,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DPP4,ENSG00000197635,0.3983038067817688,0.3983038067817688,0.3983038067817688,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MRPS30,ENSG00000112996,0.3894836902618408,0.3894836902618408,0.3894836902618408,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
THAP8,ENSG00000161277,0.3840363919734955,0.3840363919734955,0.3840363919734955,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FANCI,ENSG00000140525,0.38268202543258667,0.38268202543258667,0.38268202543258667,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NFIB,ENSG00000147862,0.37697306275367737,0.37697306275367737,0.37697306275367737,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SMG6,ENSG00000070366,0.3746873438358307,0.3746873438358307,0.3746873438358307,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
QPCT,ENSG00000115828,0.37148019671440125,0.37148019671440125,0.37148019671440125,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PHF2,ENSG00000197724,0.368839293718338,0.368839293718338,0.368839293718338,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FAM120AOS,ENSG00000188938,0.36442142724990845,0.36442142724990845,0.36442142724990845,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CPNE8,ENSG00000139117,0.3628327548503876,0.3628327548503876,0.3628327548503876,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
THOC7,ENSG00000163634,0.36015933752059937,0.36015933752059937,0.36015933752059937,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NR4A2,ENSG00000153234,0.3567047417163849,0.3567047417163849,0.3567047417163849,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PALS2,ENSG00000105926,0.3550654947757721,0.3550654947757721,0.3550654947757721,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DHX15,ENSG00000109606,0.35458242893218994,0.35458242893218994,0.35458242893218994,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
RBKS,ENSG00000171174,0.3495045304298401,0.3495045304298401,0.3495045304298401,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FANCA,ENSG00000187741,0.3487516939640045,0.3487516939640045,0.3487516939640045,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CACNA2D2,ENSG00000007402,0.3424418568611145,0.3424418568611145,0.3424418568611145,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TRANK1,ENSG00000168016,0.34241390228271484,0.34241390228271484,0.34241390228271484,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DENND4B,ENSG00000198837,0.33675020933151245,0.33675020933151245,0.33675020933151245,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SF3B1,ENSG00000115524,0.33450281620025635,0.33450281620025635,0.33450281620025635,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
C2orf69,ENSG00000178074,0.32971179485321045,0.32971179485321045,0.32971179485321045,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PEX3,ENSG00000034693,0.3285585641860962,0.3285585641860962,0.3285585641860962,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PEX10,ENSG00000157911,0.32124093174934387,0.32124093174934387,0.32124093174934387,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PRKD3,ENSG00000115825,0.3204442858695984,0.3204442858695984,0.3204442858695984,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CER1,ENSG00000147869,0.3196225166320801,0.3196225166320801,0.3196225166320801,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CTNND1,ENSG00000198561,0.31925833225250244,0.31925833225250244,0.31925833225250244,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
AGO3,ENSG00000126070,0.31857040524482727,0.31857040524482727,0.31857040524482727,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ABCB1,ENSG00000085563,0.3158508241176605,0.3158508241176605,0.3158508241176605,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ASTN1,ENSG00000152092,0.3153240382671356,0.3153240382671356,0.3153240382671356,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NGEF,ENSG00000066248,0.30283787846565247,0.30283787846565247,0.30283787846565247,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PLEKHO1,ENSG00000023902,0.2967146635055542,0.2967146635055542,0.2967146635055542,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
POC1B,ENSG00000139323,0.2946576476097107,0.2946576476097107,0.2946576476097107,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TTLL7,ENSG00000137941,0.2877374291419983,0.2877374291419983,0.2877374291419983,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
QTMAN,ENSG00000121964,0.2862820029258728,0.2862820029258728,0.2862820029258728,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CHRM4,ENSG00000180720,0.2846970856189728,0.2846970856189728,0.2846970856189728,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
INAVA,ENSG00000163362,0.2837773561477661,0.2837773561477661,0.2837773561477661,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
AIG1,ENSG00000146416,0.28194764256477356,0.28194764256477356,0.28194764256477356,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PRMT7,ENSG00000132600,0.27707546949386597,0.27707546949386597,0.27707546949386597,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
