gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
STUM,ENSG00000203685,0.840662956237793,0.840662956237793,0.840662956237793,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
BCL11B,ENSG00000127152,0.8401805758476257,0.8401805758476257,0.8401805758476257,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
GRM3,ENSG00000198822,0.8318872451782227,0.8318872451782227,0.8318872451782227,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
ZNF804A,ENSG00000170396,0.8297563791275024,0.8297563791275024,0.8297563791275024,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
PLK2,ENSG00000145632,0.8291535377502441,0.8291535377502441,0.8291535377502441,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
NXPH1,ENSG00000122584,0.8281353116035461,0.8281353116035461,0.8281353116035461,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
PDE4B,ENSG00000184588,0.8273506760597229,0.8273506760597229,0.8273506760597229,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
SGCD,ENSG00000170624,0.82664555311203,0.82664555311203,0.82664555311203,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
AKT3,ENSG00000117020,0.8224818706512451,0.8224818706512451,0.8224818706512451,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
CNKSR2,ENSG00000149970,0.8181247115135193,0.8181247115135193,0.8181247115135193,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
SORCS3,ENSG00000156395,0.8123157620429993,0.8123157620429993,0.8123157620429993,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
ACE,ENSG00000159640,0.8098667860031128,0.8098667860031128,0.8098667860031128,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
ZSWIM6,ENSG00000130449,0.8004053831100464,0.8004053831100464,0.8004053831100464,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
MMP16,ENSG00000156103,0.7992107272148132,0.7992107272148132,0.7992107272148132,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
SNAP91,ENSG00000065609,0.7968053817749023,0.7968053817749023,0.7968053817749023,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
ZNF835,ENSG00000127903,0.7966992855072021,0.7966992855072021,0.7966992855072021,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
CUL3,ENSG00000036257,0.7886298894882202,0.7886298894882202,0.7886298894882202,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
CALN1,ENSG00000183166,0.7787797451019287,0.7787797451019287,0.7787797451019287,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
IMMP2L,ENSG00000184903,0.7737292647361755,0.7737292647361755,0.6544223725795746,2,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
FES,ENSG00000182511,0.7730885148048401,0.7730885148048401,0.7730885148048401,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
KLF10,ENSG00000155090,0.7697800397872925,0.7697800397872925,0.7697800397872925,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
VSIG2,ENSG00000019102,0.7687780261039734,0.7687780261039734,0.7687780261039734,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
KCNQ5,ENSG00000185760,0.7683469653129578,0.7683469653129578,0.7683469653129578,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
WBP1L,ENSG00000166272,0.767765462398529,0.767765462398529,0.767765462398529,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
RALGPS1,ENSG00000136828,0.7670737504959106,0.7670737504959106,0.7670737504959106,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
TMCC3,ENSG00000057704,0.7635536193847656,0.7635536193847656,0.7635536193847656,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
ATXN7,ENSG00000163635,0.7611337900161743,0.7611337900161743,0.7611337900161743,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
EFNA5,ENSG00000184349,0.7586259245872498,0.7586259245872498,0.7586259245872498,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
ATP2A2,ENSG00000174437,0.7557124495506287,0.7557124495506287,0.7557124495506287,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
SP4,ENSG00000105866,0.7528528571128845,0.7528528571128845,0.7528528571128845,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
SNCA,ENSG00000145335,0.7527541518211365,0.7527541518211365,0.7527541518211365,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
CHRNB4,ENSG00000117971,0.7525148987770081,0.7525148987770081,0.7525148987770081,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
DLX1,ENSG00000144355,0.7513089776039124,0.7513089776039124,0.7513089776039124,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
FOXO3,ENSG00000118689,0.7504170536994934,0.7504170536994934,0.7504170536994934,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
NALCN,ENSG00000102452,0.7430585026741028,0.7430585026741028,0.7430585026741028,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
KCNB1,ENSG00000158445,0.7385104298591614,0.7385104298591614,0.7385104298591614,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
TRPC4,ENSG00000133107,0.7357392311096191,0.7357392311096191,0.4133751429617405,2,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
PTBP2,ENSG00000117569,0.7354886531829834,0.7354886531829834,0.7354886531829834,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
EMB,ENSG00000170571,0.7349854111671448,0.7349854111671448,0.7349854111671448,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
TSNARE1,ENSG00000171045,0.7335212826728821,0.7335212826728821,0.7335212826728821,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
DRD2,ENSG00000149295,0.7329740524291992,0.7329740524291992,0.7329740524291992,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
ENOX1,ENSG00000120658,0.7261564135551453,0.7261564135551453,0.7261564135551453,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
BRINP2,ENSG00000198797,0.7233501076698303,0.7233501076698303,0.7233501076698303,1,GCST90128471,Open Targets L2G prioritization score; not proof of causality,maximum L2G score >= eligible prediction Q3 (0.588663)
