gene,ensembl_id,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,study,score_interpretation,selection_rule
SYPL1,ENSG00000008282,0.7728403210639954,0.7728403210639954,0.7728403210639954,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ETV7,ENSG00000010030,0.7670842409133911,0.7670842409133911,0.7670842409133911,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
BATF3,ENSG00000123685,0.7612656354904175,0.7612656354904175,0.7612656354904175,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PKIA,ENSG00000171033,0.7538833618164062,0.7538833618164062,0.7538833618164062,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ZBTB38,ENSG00000177311,0.7534781098365784,0.7534781098365784,0.7534781098365784,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TNIP3,ENSG00000050730,0.7497385144233704,0.7497385144233704,0.7497385144233704,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
LEF1,ENSG00000138795,0.7491066455841064,0.7491066455841064,0.7491066455841064,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
JAZF1,ENSG00000153814,0.7474095821380615,0.7474095821380615,0.7474095821380615,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IL2RA,ENSG00000134460,0.7424138188362122,0.7424138188362122,0.7424138188362122,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
SAE1,ENSG00000142230,0.7423017024993896,0.7423017024993896,0.7423017024993896,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
PVR,ENSG00000073008,0.7415076494216919,0.7415076494216919,0.7415076494216919,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TCF7,ENSG00000081059,0.7341566681861877,0.7341566681861877,0.7341566681861877,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
FOXP1,ENSG00000114861,0.7325328588485718,0.7325328588485718,0.7325328588485718,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
STAT3,ENSG00000168610,0.729792058467865,0.729792058467865,0.729792058467865,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
NDFIP1,ENSG00000131507,0.7270665168762207,0.7270665168762207,0.7270665168762207,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CARD11,ENSG00000198286,0.726706862449646,0.726706862449646,0.726706862449646,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
HOXA1,ENSG00000105991,0.7261399626731873,0.7261399626731873,0.7261399626731873,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CIMAP1B,ENSG00000177989,0.7255269885063171,0.7255269885063171,0.7255269885063171,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
BATF,ENSG00000156127,0.724862813949585,0.724862813949585,0.724862813949585,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
ANKRD55,ENSG00000164512,0.717512309551239,0.717512309551239,0.717512309551239,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
GNG2,ENSG00000186469,0.7110607028007507,0.7110607028007507,0.7110607028007507,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
CMC1,ENSG00000187118,0.7110368609428406,0.7110368609428406,0.7110368609428406,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RGS14,ENSG00000169220,0.6991593837738037,0.6991593837738037,0.6991593837738037,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MYC,ENSG00000136997,0.6967940330505371,0.6967940330505371,0.6967940330505371,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
RUNX3,ENSG00000020633,0.6864047646522522,0.6864047646522522,0.6864047646522522,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
MALT1,ENSG00000172175,0.6738871335983276,0.6738871335983276,0.6738871335983276,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
IFITM3,ENSG00000142089,0.6738082766532898,0.6738082766532898,0.6738082766532898,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
TBX6,ENSG00000149922,0.6670393943786621,0.6670393943786621,0.6670393943786621,1,GCST009597,Open Targets L2G prioritization score; not proof of causality,maximum L2G score > 0.05
